the_geom,SCHOOL_ID,Short_Name,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.66781651175461 41.82935561870738),610319,EVERGREEN MS,"3537 S Paulina St, 60609",ES,"6, 7, 8",District,-87.66781651,41.82935562
POINT (-87.71998811723657 41.95249186049323),610321,"MARSHALL, T MS","3900 N Lawndale Ave, 60618",ES,"7, 8",District,-87.71998812,41.95249186
POINT (-87.55755003385275 41.73462671971637),610323,BOWEN HS,"2710 E 89th St, 60617",HS,"9, 10, 11, 12",District,-87.55755003,41.73462672
POINT (-87.7080408764978 41.93397019544521),610325,LOGANDALE MS,"3212 W George St, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70804088,41.9339702
POINT (-87.67521045891944 41.857754809048),610329,OROZCO,"1940 W 18th St, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.67521046,41.85775481
POINT (-87.71542311991061 41.88621005936022),610334,RABY HS,"3545 W Fulton Blvd, 60624",HS,"9, 10, 11, 12",District,-87.71542312,41.88621006
POINT (-87.64921669361973 41.75892473172105),610339,STAGG,"7424 S Morgan St, 60621",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.64921669,41.75892473
POINT (-87.77684656598319 41.94305449025786),610340,CHGO ACAD HS,"3400 N Austin Ave, 60634",HS,"9, 10, 11, 12",District,-87.77684657,41.94305449
POINT (-87.68304994191865 41.90681580907238),610342,SABIN,"2216 W Hirsch St, 60622",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.68304994,41.90681581
POINT (-87.60841876847849 41.81449879499185),610345,WOODSON,"4414 S Evans Ave, 60653",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.60841877,41.8144988
POINT (-87.68106119770613 41.777510507274556),610347,CLAREMONT,"2300 W 64th St, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6810612,41.77751051
POINT (-87.5766429511519 41.729692360814184),610350,BLACK,"9101 S Euclid Ave, 60619",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.57664295,41.72969236
POINT (-87.72995529240711 41.73884394057011),610352,DURKIN PARK,"8445 S Kolin Ave, 60652",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.72995529,41.73884394
POINT (-87.71165364057762 41.824377327213384),610353,CALMECA,"3456 W 38th St, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.71165364,41.82437733
POINT (-87.7071507281792 41.961721055910864),610354,NORTH RIVER,"4416 N Troy St, 60625",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70715073,41.96172106
POINT (-87.66385296311167 41.96230777171522),610355,COURTENAY,"4420 N Beacon St, 60640",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.66385296,41.96230777
POINT (-87.69894610650913 41.84776169413336),610357,SPRY HS,"2400 S Marshall Blvd, 60623",HS,"9, 10, 11",District,-87.69894611,41.8477617
POINT (-87.63930546895577 41.715665357544054),610362,EVERS,"9811 S Lowe Ave, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.63930547,41.71566536
POINT (-87.6460827440443 41.95681613022009),610363,DISNEY,"4140 N Marine Dr, 60613",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.64608274,41.95681613
POINT (-87.61432001021883 41.653732980686485),610364,DUBOIS,"330 E 133rd St, 60827",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.61432001,41.65373298
POINT (-87.64804432348328 41.71619329561056),610366,WACKER,"9746 S Morgan St, 60643",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.64804432,41.7161933
POINT (-87.76629755455644 41.8779788328372),610367,DEPRIEST,"139 S Parkside Ave, 60644",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.76629755,41.87797883
POINT (-87.62986865964777 41.705342321152955),610368,"HUGHES, L","240 W 104th St, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.62986866,41.70534232
POINT (-87.64676673439911 41.73412547213793),610369,"JACKSON, M","917 W 88th St, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.64676673,41.73412547
POINT (-87.62502997956442 41.80611759680971),610380,"WILLIAMS, D","4934 S Wabash Ave, 60615",HS,"9, 10, 11, 12",District,-87.62502998,41.8061176
POINT (-87.62500446842496 41.80520417036024),610381,BRONZEVILLE HS,"4934 S Wabash Ave, 60615",HS,"9, 10, 11, 12",District,-87.62500447,41.80520417
POINT (-87.73529946932085 41.83350727440447),610383,GREATER LAWNDALE HS,"3120 S Kostner Ave, 60623",HS,"9, 10, 11, 12",District,-87.73529947,41.83350727
POINT (-87.73527796161464 41.83616881791408),610384,INFINITY HS,"3120 S Kostner Ave, 60623",HS,"9, 10, 11, 12",District,-87.73527796,41.83616882
POINT (-87.73528329704085 41.83528187282801),610385,MULTICULTURAL ACAD SCHOLARSHIP,"3120 S Kostner Ave, 60623",HS,"9, 10, 11, 12",District,-87.7352833,41.83528187
POINT (-87.66737776499681 41.80351471547385),610386,PEACE AND EDUCATION HS,"4946 S Paulina St, 60609",HS,"10, 11, 12",District,-87.66737777,41.80351472
POINT (-87.72616633101569 41.8944488261328),610389,ORR HS,"730 N Pulaski Rd, 60624",HS,"9, 10, 11, 12",District,-87.72616633,41.89444883
POINT (-87.66578850846128 41.98902070946669),610390,RICKOVER HS,"5900 N Glenwood Ave, 60660",HS,"9, 10, 11, 12",District,-87.66578851,41.98902071
POINT (-87.67166184964424 41.78204080286074),610391,LINDBLOM HS,"6130 S Wolcott Ave, 60636",HS,"7, 8, 9, 10, 11, 12",District,-87.67166185,41.7820408
POINT (-87.73529221730786 41.83439661641913),610392,WORLD LANGUAGE HS,"3120 S Kostner Ave, 60623",HS,"9, 10, 11, 12",District,-87.73529222,41.83439662
POINT (-87.65247334563585 41.96554746082514),610394,UPLIFT HS,"900 W Wilson Ave, 60640",HS,"9, 10, 11, 12",District,-87.65247335,41.96554746
POINT (-87.70644464862602 41.7644070751603),610396,TARKINGTON,"3330 W 71st St, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70644465,41.76440708
POINT (-87.69076139189741 41.94138763973928),610402,DEVRY HS,"3300 N Campbell Ave, 60618",HS,"11, 12",District,-87.69076139,41.94138764
POINT (-87.6776361122946 41.883214516587714),610405,SUDER,"2022 W Washington Blvd, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.67763611,41.88321452
POINT (-87.7020415857877 41.86414856686577),610499,COLLINS HS,"1313 S Sacramento Dr, 60623",HS,"9, 10, 11, 12",District,-87.70204159,41.86414857
POINT (-87.76190894947844 41.88512294378052),610501,AUSTIN POLY HS,"231 N Pine Ave, 60644",HS,"9, 10, 11, 12",District,-87.76190895,41.88512294
POINT (-87.68831372379145 41.87912345888743),610502,MARINE MILITARY HS,"145 S Campbell Ave, 60612",HS,"10, 11, 12",District,-87.68831372,41.87912346
POINT (-87.72724437841765 41.86697962686208),610503,FRAZIER PROSPECTIVE,"4027 W Grenshaw St, 60624",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.72724438,41.86697963
POINT (-87.67754185004422 41.827774912780285),610504,THOMAS,"3625 S Hoyne Ave, 60609",ES,PK,District,-87.67754185,41.82777491
POINT (-87.6330187904462 41.781484903182914),610506,TEAM HS,"6201 S Stewart Ave, 60621",HS,"9, 10, 11, 12",District,-87.63301879,41.7814849
POINT (-87.63275698312634 41.828145322049565),610513,AIR FORCE HS,"3630 S Wells St, 60609",HS,"9, 10, 11, 12",District,-87.63275698,41.82814532
POINT (-87.76191637273237 41.88599328647998),610518,VOISE HS,"231 N Pine Ave, 60644",HS,"9, 10, 11, 12",District,-87.76191637,41.88599329
POINT (-87.67369603171919 41.902914456505975),610520,LASALLE II,"1148 N Honore St, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.67369603,41.90291446
POINT (-87.66652988325733 41.771221111228726),610521,"DAVIS, M","6730 S Paulina St, 60636",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.66652988,41.77122111
POINT (-87.81377123403563 41.99423794962509),610523,EDISON PARK,"6220 N Olcott Ave, 60631",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.81377123,41.99423795
POINT (-87.68056201258314 41.93579455558985),610524,ALCOTT PREP HS,"2957 N Hoyne Ave, 60618",HS,"9, 10, 11, 12",District,-87.68056201,41.93579456
POINT (-87.65940468445534 41.8935476378506),610529,OGDEN HS,"1250 W Erie St, 60642",HS,"6, 7, 8, 9, 10, 11, 12",District,-87.65940468,41.89354764
POINT (-87.5903961020606 41.76775510872349),610530,SOUTHSHORE,"1415 E 70th St, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5903961,41.76775511
POINT (-87.7113699213332 41.793479329251525),610532,HERNANDEZ MS,"3510 W 55th St, 60632",ES,"6, 7, 8",District,-87.71136992,41.79347933
POINT (-87.76578057130992 41.921317581679105),610533,PRIETO,"2231 N Central Ave, 60639",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.76578057,41.92131758
POINT (-87.6448414947778 41.905109118866676),610534,SKINNER NORTH,"640 W Scott St, 60610",ES,"K, 1, 2, 3, 4, 5, 6, 7",District,-87.6448415,41.90510912
POINT (-87.77012725797415 41.93493062208358),610539,CAMRAS,"3000 N Mango Ave, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.77012726,41.93493062
POINT (-87.72478312355827 41.94002591322928),610541,LORCA,"3231 N Springfield Ave, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.72478312,41.94002591
POINT (-87.7059172053415 42.00295899415031),610542,WEST RIDGE,"6700 N Whipple St, 60645",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.70591721,42.00295899
POINT (-87.71105882218495 41.79520055456999),610543,SOLORIO HS,"5400 S St Louis Ave, 60632",HS,"9, 10, 11, 12",District,-87.71105882,41.79520056
POINT (-87.73992023378516 41.77107907193362),610544,AZUELA,"4707 W Marquette Rd, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.73992023,41.77107907
POINT (-87.57635263779207 41.75879166256017),610547,SOUTH SHORE INTL HS,"1955 E 75th St, 60649",HS,"9, 10, 11, 12",District,-87.57635264,41.75879166
POINT (-87.6649691328381 41.868575878584245),610548,STEM ACADEMY,"1522 W Fillmore St, 60607",ES,"K, 1, 2, 3, 4, 5, 6",District,-87.66496913,41.86857588
POINT (-87.75406405298797 41.895677725009506),610555,BANNER ACADEMY WEST HS,"819 N Leamington Ave, 60651",HS,"9, 10, 11, 12",ALOP,-87.75406405,41.89567773
POINT (-87.70406006783527 41.73523902189959),610557,PATHWAYS IN EDUCATION HS,"3270 W 87th St, 60652",HS,"9, 10, 11, 12",ALOP,-87.70406007,41.73523902
POINT (-87.70734534806047 41.753749801742536),610558,GOODE ACAD HS,"7651 S Homan Ave, 60652",HS,"9, 10, 11",District,-87.70734535,41.7537498
POINT (-87.68977977275121 41.80649141085714),610559,SHIELDS MIDDLE,"2611 W 48th St, 60632",ES,"5, 6, 7, 8",District,-87.68977977,41.80649141
