the_geom,SCHOOL_ID,Short_Name,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.67481841837879 42.013031488980566),400035,CHGO MATH & SCI ACAD CHTR HS,"7212 N Clark St, 60626",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.67481842,42.01303149
POINT (-87.64977248488317 41.88055011182431),400036,CHICAGO VIRTUAL CHTR HS,"38 S Peoria St, 60607",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Charter,-87.64977248,41.88055011
POINT (-87.72502201993288 41.864952258884564),400038,COMMUNITY CONTR,"1239 S Pulaski Rd, 60623",HS,"11, 12",Contract,-87.72502202,41.86495226
POINT (-87.69436444522483 41.90677063476995),400039,ERIE CHTR,"1405 N Washtenaw Ave, 60622",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.69436445,41.90677064
POINT (-87.71764197634056 41.86207686324782),400040,FRAZIER CHTR,"3711 W Douglas Blvd, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.71764198,41.86207686
POINT (-87.72195903856344 41.897313024607094),400041,GALAPAGOS CHTR,"3814 W Iowa St, 60651",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.72195904,41.89731303
POINT (-87.71030187624037 41.86931847642197),400042,FORD CHTR HS,"931 S Homan Ave, 60624",HS,12,Charter,-87.71030188,41.86931848
POINT (-87.66807694563214 41.883362026191705),400043,HOPE CONTR ES,"1628 W Washington, 60612",ES,"K, 1, 2, 3, 4, 5",Contract,-87.66807695,41.88336203
POINT (-87.7210706465121 41.858369743196675),400044,KIPP CHTR - ASCEND,"1616 S Avers Ave, 60623",ES,"1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.72107065,41.85836974
POINT (-87.63105814858851 41.69804048805754),400045,NKRUMAH CHTR,"314 W 108th St, 60628",ES,"K, 1, 2, 3, 4, 5, 6, 7",Charter,-87.63105815,41.69804049
POINT (-87.7106794800759 41.867272713849566),400046,LEARN CHTR - BUTLER,"1132 S Homan Ave, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.71067948,41.86727271
POINT (-87.69873871980407 41.87786063109123),400047,LEARN CHTR - CAMPBELL,"212 S Francisco Ave, 60612",ES,"K, 1, 2, 3, 4, 5",Charter,-87.69873872,41.87786063
POINT (-87.68656837090899 41.87468714074364),400048,LEARN CHTR - EXCEL,"2401 W Congress Pkwy, 60612",ES,"K, 1, 2, 3, 4, 5",Charter,-87.68656837,41.87468714
POINT (-87.73034814856054 41.85685915735708),400049,LEGACY CHTR,"4217 W 18th St, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.73034815,41.85685916
POINT (-87.66772404348096 41.825699759221585),400050,NAMASTE CHTR,"3737 S Paulina St, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.66772404,41.82569976
POINT (-87.6626277822452 41.90019052036328),400051,NOBLE CHTR - NOBLE,"1010 N Noble St, 60642",HS,"9, 10, 11, 12",Charter,-87.66262778,41.90019052
POINT (-87.60197357208965 41.76408299287095),400052,NOBLE CHTR - COMER,"7200 S Ingleside Ave, 60619",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.60197357,41.76408299
POINT (-87.66448299829219 41.89528219322829),400053,NOBLE CHTR - GOLDER,"1454 W Superior St, 60642",HS,"9, 10, 11, 12",Charter,-87.664483,41.89528219
POINT (-87.73012671473326 41.91521410632573),400054,NOBLE CHTR - PRITZKER,"4131 W Cortland Ave, 60639",HS,"9, 10, 11, 12",Charter,-87.73012672,41.91521411
POINT (-87.66085886981283 41.89242501199445),400055,NOBLE CHTR - RAUNER,"1337 W Ohio St, 60642",HS,"9, 10, 11, 12",Charter,-87.66085887,41.89242501
POINT (-87.7180467676694 41.89536225829381),400056,NOBLE CHTR - ROWE CLARK,"3645 W Chicago Ave, 60651",HS,"9, 10, 11, 12",Charter,-87.71804677,41.89536226
POINT (-87.67611092980181 41.86581741283157),400057,NOBLE CHTR - UIC,"1231 S Damen Ave, 60608",HS,"9, 10, 11, 12",Charter,-87.67611093,41.86581741
POINT (-87.70898711117727 41.85856355339459),400058,NTH LAWNDALE CHTR - CHRISTIANA,"1615 S. Christiana Ave., 60623",HS,"9, 10, 11, 12",Charter,-87.70898711,41.85856355
POINT (-87.70068059996225 41.86414584238213),400059,NORTH LAWNDALE CHTR - COLLINS,"1313 S Sacramento Dr, 60623",HS,"9, 10, 11, 12",Charter,-87.7006806,41.86414584
POINT (-87.67116041931102 41.98337143551791),400060,ASIAN HUMAN SERVICES CHTR - PASSAGES,"1643 W Bryn Mawr Ave, 60660",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.67116042,41.98337144
POINT (-87.65204508844263 41.74596083113286),400061,PERSPECTIVES CHTR - LEADERSHIP ACADEMY,"8131 S May St, 60620",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.65204509,41.74596083
POINT (-87.6506570244465 41.745949018698816),400062,PERSPECTIVES CHTR - TECH HS,"8131 S May St, 60620",HS,"9, 10, 11, 12",Charter,-87.65065702,41.74594902
POINT (-87.6285309007454 41.85599910441009),400064,PERSPECTIVES CHTR - JOSLIN,"1930 S Archer Ave, 60616",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.6285309,41.85599911
POINT (-87.62478771976076 41.827783856672056),400066,PERSPECTIVES CHTR - IIT,"3663 S Wabash Ave, 60653",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.62478772,41.82778386
POINT (-87.76333693234645 41.87276042775959),400068,PLATO CONTR,"5545 W Harrison St, 60644",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Contract,-87.76333693,41.87276043
POINT (-87.70779647483542 41.89255017313203),400069,POLARIS CHTR,"620 N Sawyer Ave, 60624",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.70779647,41.89255017
POINT (-87.66354080852189 41.90307017951493),400070,PROLOGUE CONTR HS,"1135 N Cleaver St, 60622",HS,"9, 10, 11, 12",Contract,-87.66354081,41.90307018
POINT (-87.66399582959697 41.775367366876885),400071,PROVIDENCE CHTR - BUNCHE,"6515 S Ashland Ave, 60636",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.66399583,41.77536737
POINT (-87.60025455321865 41.752458488347806),400072,SHABAZZ CHTR - SHABAZZ,"7823 S Ellis Ave, 60619",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.60025455,41.75245849
POINT (-87.62501515025494 41.80430932601725),400073,SHABAZZ CHTR - DUSABLE,"4934 S Wabash Ave, 60615",HS,"11, 12",Charter,-87.62501515,41.80430933
POINT (-87.6676390084211 41.7673901123986),400074,SHABAZZ CHTR - SIZEMORE,"6936 S Hermitage Ave, 60636",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.66763901,41.76739011
POINT (-87.6085007807937 41.82772608093774),400075,UNIV OF CHGO CHTR - DONOGHUE,"707 E 37th St, 60653",ES,"PK, K, 1, 2, 3, 4, 5",Charter,-87.60850078,41.82772608
POINT (-87.59878626839304 41.81118286651697),400076,UNIV OF CHGO CHTR - NKO,"1119 E 46th St, 60653",ES,"PK, K, 1, 2, 3, 4, 5",Charter,-87.59878627,41.81118287
POINT (-87.59811391931001 41.77812969760118),400077,UNIV OF CHGO CHTR - WOODLAWN,"6420 S University Ave, 60637",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.59811392,41.7781297
POINT (-87.60842562240991 41.813547304108404),400078,UNIV OF CHGO CHTR - WOODSON,"4444 S Evans Ave, 60653",ES,"6, 7, 8",Charter,-87.60842562,41.8135473
POINT (-87.73049511744672 41.81013478652209),400079,UNO CHTR - SPC DANIEL ZIZUMBO,"4248 W 47th St, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.73049512,41.81013479
POINT (-87.73045044341933 41.80819980605674),400080,UNO CHTR - PFC OMAR E.TORRES,"4248 W 47th St, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.73045044,41.80819981
POINT (-87.66794916955581 41.859504007501364),400081,UNO CHTR - DE LAS CASAS,"1641 W 16th St, 60608",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.66794917,41.85950401
POINT (-87.69959365144675 41.937475775108396),400082,UNO CHTR - FUENTES,"2845 W Barry Ave, 60618",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.69959365,41.93747578
POINT (-87.69255089867096 41.85003541229726),400083,UNO CHTR - PAZ,"2651 W 23rd St, 60608",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6925509,41.85003541
POINT (-87.69386163539056 41.799930185927614),400084,UNO CHTR - TAMAYO,"5135 S California Ave, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.69386164,41.79993019
POINT (-87.73046684945614 41.809170789228574),400085,UNO CHTR - MAJOR HECTOR P.GARCIA,"4248 W 47th St, 60632",HS,"9, 10, 11, 12",Charter,-87.73046685,41.80917079
POINT (-87.63435669192559 41.781497815831855),400086,URBAN PREP CHTR - ENGLEWOOD,"6201 S Stewart Ave, 60621",HS,"9, 10, 11, 12",Charter,-87.63435669,41.78149782
POINT (-87.61872379631045 41.84454380554294),400087,YOUNG WOMEN'S LEADERSHIP CHTR,"2641 S Calumet Ave, 60616",HS,"7, 8, 9, 10, 11, 12",Charter,-87.6187238,41.84454381
POINT (-87.69739409699946 41.80830882382766),400089,UNO CHTR - MARQUEZ,"2916 W 47th St, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6973941,41.80830882
POINT (-87.65909480292642 41.86330140822328),400091,CHICAGO TECH ACADEMY,"1301 W 14th St, 60608",HS,"9, 10, 11, 12",Contract,-87.6590948,41.86330141
POINT (-87.60503910190955 41.653663449416015),400092,CICS - LLOYD BOND,"13300 S Langley Ave, 60827",ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.6050391,41.65366345
POINT (-87.55022236950532 41.744849105595485),400094,EPIC CHTR HS,"8255 S Houston Ave, 60617",HS,"9, 10, 11, 12",Charter,-87.55022237,41.74484911
POINT (-87.66407246853345 41.90779717825756),400096,ROWE CHTR,"1424 N Cleaver St, 60642",ES,"K, 1, 2, 3, 4, 5, 6, 7",Charter,-87.66407247,41.90779718
POINT (-87.67819525963878 41.87880880794607),400097,NOBLE CHTR - CHGO BULLS,"2040 W Adams St, 60612",HS,"9, 10, 11, 12",Charter,-87.67819526,41.87880881
POINT (-87.62633828219971 41.88274025710012),400098,NOBLE CHTR - MUCHIN,"1 N State St, 60602",HS,"9, 10, 11, 12",Charter,-87.62633828,41.88274026
POINT (-87.69399616198365 41.8228837404716),400101,UNO CHTR - SANDRA CISNEROS,"2744 W Pershing Rd, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.69399616,41.82288374
POINT (-87.66010654063662 41.86254001922581),400102,URBAN PREP CHTR - WEST,"1326 W 14th Pl, 60608",HS,"9, 10, 11, 12",Charter,-87.66010654,41.86254002
POINT (-87.6872401588268 41.84596658769947),400104,INSTITUTO CHTR - HEALTH SCIENCES,"2520 S Western Ave, 60608",HS,"9, 10, 11, 12",Charter,-87.68724016,41.84596659
POINT (-87.61362864698684 41.83111753084326),400105,URBAN PREP CHTR - BRONZEVILLE,"521 E 35th St, 60616",HS,"9, 10, 11, 12",Charter,-87.61362865,41.83111753
POINT (-87.63511669835238 41.77836949834166),400106,NOBLE CHTR - JOHNSON,"6350 S Stewart Ave, 60621",HS,"9, 10, 11, 12",Charter,-87.6351167,41.7783695
POINT (-87.54557989281986 41.73333313284307),400107,LEARN CHRT - SOUTH CHICAGO,"8914 S Buffalo Ave, 60617",ES,"K, 1, 2, 3, 4, 5, 6, 7",Charter,-87.54557989,41.73333313
POINT (-87.60187328312416 41.65314105667224),400108,CICS - HAWKINS,"801 E 133rd Pl, 60827",HS,"7, 8, 9, 10, 11, 12",Charter,-87.60187328,41.65314106
POINT (-87.66241565286293 41.72113645497962),400109,PROLOGUE - JOHNSTON CHTR HS,"1551 W 95th St, 60643",HS,"9, 10, 11, 12",Charter,-87.66241565,41.72113646
POINT (-87.66572105552245 41.74312176998597),400111,LEARN CHTR - HUNTER PERKINS,"1700 W 83rd St, 60620",ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.66572106,41.74312177
POINT (-87.70879678421302 41.80104241336387),400112,UNO CHTR - HOMAN ES,"5050 S Homan Ave, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.70879678,41.80104241
POINT (-87.6455614997251 41.90779679504793),400113,CICS - CHICAGOQUEST NORTH,"1443 N Ogden Ave, 60610",HS,"6, 7, 8, 9, 10",Charter,-87.6455615,41.9077968
POINT (-87.68989562476189 41.90034363442005),400114,UNO CHTR - ESMERALDA SANTIAGO,"2510 W Cortez St, 60622",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.68989563,41.90034364
POINT (-87.6930753226288 41.770991718211576),400115,CATALYST CHTR - MARIA,"6727 S California Ave, 60629",ES,"K, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12",Charter,-87.69307532,41.77099172
POINT (-87.67614672680385 41.7745716015998),400116,MONTESSORI CHTR - ENGLEWOOD,"6550 S Seeley Ave, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6",Charter,-87.67614673,41.7745716
POINT (-87.65098672782085 41.734441622545084),400117,NOBLE CHTR - HANSBERRY,"8748 S Aberdeen St, 60620",HS,"9, 10, 11",Charter,-87.65098673,41.73444162
POINT (-87.71165422586564 41.86932807646286),400118,NOBLE CHTR - DRW,"931 S Homan Ave, 60624",HS,"9, 10, 11",Charter,-87.71165423,41.86932808
POINT (-87.73377838310492 41.88173275840047),400119,LEGAL PREP CHTR ACADEMY,"4319 W Washington Blvd, 60612",HS,"9, 10, 11",Charter,-87.73377838,41.88173276
POINT (-87.78783043795977 41.917951679001526),400120,UNO CHTR - NEAR WEST,"2050 N Natchez Ave, 60707",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.78783044,41.91795168
POINT (-87.68440568153892 42.01647588165271),400121,UNO CHTR - ROGERS PARK,"7416 N Ridge Blvd, 60645",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",Charter,-87.68440568,42.01647588
POINT (-87.74253889944762 41.880447187300774),400123,YCCS CHTR - ASA,"4651 W Madison St, 60644",HS,"10, 11, 12",Charter,-87.7425389,41.88044719
POINT (-87.62533077011555 41.84133116704404),400124,YCCS CHTR - MCKINLEY,"2920 S Wabash Ave, 60616",HS,"10, 11, 12",Charter,-87.62533077,41.84133117
POINT (-87.72713735989637 41.93818660243103),400125,YCCS CHTR - ASPIRA PANTOJA,"3121 N Pulaski Rd, 60641",HS,"10, 11, 12",Charter,-87.72713736,41.9381866
POINT (-87.70685988382161 41.9015724066718),400126,YCCS CHTR - ASSOCIATION HOUSE,"1116 N Kedzie Ave, 60651",HS,"10, 11, 12",Charter,-87.70685988,41.90157241
POINT (-87.76022117562405 41.89497639068477),400127,YCCS CHTR - AUSTIN CAREER,"5352 W Chicago Ave, 60651",HS,"10, 11, 12",Charter,-87.76022118,41.89497639
POINT (-87.72366217143608 41.86494335189345),400128,YCCS CHTR - CCA ACADEMY,"1231 S Pulaski Rd, 60623",HS,"10, 11, 12",Charter,-87.72366217,41.86494335
POINT (-87.61647729813454 41.80933109038372),400129,YCCS CHTR - HOUSTON,"4701 S King Dr, 60615",HS,"10, 11, 12",Charter,-87.6164773,41.80933109
POINT (-87.64173118629225 41.751377111833904),400130,YCCS CHTR - YOUTH DEVELOPMENT,"7836 S Union Ave, 60620",HS,"10, 11, 12",Charter,-87.64173119,41.75137711
POINT (-87.69600602220713 41.90284969724916),400131,YCCS CHTR - CAMPOS,"2739 W Division St, 60622",HS,"10, 11, 12",Charter,-87.69600602,41.9028497
POINT (-87.62773414585837 41.88304717157979),400133,YCCS CHTR - INNOVATIONS,"17 N. State St., 60602",HS,"10, 11, 12",Charter,-87.62773415,41.88304717
POINT (-87.6448879754817 41.85720785596084),400134,YCCS CHTR - ADDAMS,"1814 S Union Ave, 60616",HS,"10, 11",Charter,-87.64488798,41.85720786
POINT (-87.69543001380885 41.85466465548888),400135,YCCS CHTR - LATINO YOUTH,"2001 S California Ave, 60608",HS,"10, 11, 12",Charter,-87.69543001,41.85466466
POINT (-87.592333202492 41.71292209989564),400136,YCCS CHTR - OLIVE HARVEY,"10001 S Woodlawn Ave, 60628",HS,"10, 11",Charter,-87.5923332,41.7129221
POINT (-87.59933993996285 41.809695495557065),400137,LITTLE BLACK PEARL ACADEMY HS,"1060 E 47th St, 60653",HS,"9, 10, 11, 12",Contract,-87.59933994,41.8096955
POINT (-87.57849166954297 41.746286569880006),400139,YCCS CHTR - SULLIVAN,"8164 S South Chicago Ave, 60617",HS,"10, 11, 12",Charter,-87.57849167,41.74628657
POINT (-87.65923928943083 41.965294816271395),400141,YCCS CHTR - TRUMAN,"1145 W Wilson Ave, 60640",HS,"10, 11, 12",Charter,-87.65923929,41.96529482
POINT (-87.67413840184999 41.87631672731323),400142,YCCS CHTR - VIRTUAL,"1900 W Van Buren St, 60612",HS,"10, 11, 12",Charter,-87.6741384,41.87631673
POINT (-87.70205280026559 41.89080312095962),400143,YCCS CHTR - WEST TOWN,"500 N Sacramento Blvd, 60612",HS,"10, 11, 12",Charter,-87.7020528,41.89080312
POINT (-87.75416654390553 41.939796767286225),609708,FOREMAN HS,"3235 N LeClaire Ave, 60641",HS,"9, 10, 11, 12",District,-87.75416654,41.93979677
POINT (-87.74881028902938 41.90224003146582),400144,YCCS CHTR - WESTSIDE HOLISTIC,"4909 W Division St, 60651",HS,"10, 11, 12",Charter,-87.74881029,41.90224003
POINT (-87.62678146982476 41.83207205772944),400145,YCCS CHTR - COMMUNITY ACADEMY,"3424 S State St, 60616",HS,"10, 11, 12",Charter,-87.62678147,41.83207206
POINT (-87.74661383938387 41.891816141953214),400146,KIPP CHTR - CREATE,"4818 W Ohio St, 60644",ES,"5, 6, 7",Charter,-87.74661384,41.89181614
POINT (-87.65424794294071 41.69195333774312),400147,CHICAGO EXCEL CONTR ACAD,"1269 W 111th St, 60643",HS,"9, 10, 11, 12",Contract,-87.65424794,41.69195334
POINT (-87.68406493865558 41.84544601504087),400148,INSTITUTO CHTR - JUSTICE  AND LEADERSHIP,"2570 S Blue Island Ave, 60608",HS,"10, 11, 12",Charter,-87.68406494,41.84544602
POINT (-87.71102498480566 41.801762245391835),400149,UNO CHTR - SOCCER HS,"5025 S Saint Louis Ave, 60632",HS,"6, 7, 8, 9, 10",Charter,-87.71102498,41.80176225
POINT (-87.60697990879785 41.73013138418161),400150,YCCS CHTR - CHATHAM,"9035 S Langley Ave, 60619",HS,"10, 11, 12",Charter,-87.60697991,41.73013139
POINT (-87.70139735045758 41.88741028436125),400151,LEARN CHTR 7,"3021 W Carroll Ave, 60612Â",ES,"K, 1, 2, 3, 4",Charter,-87.70139735,41.88741029
POINT (-87.69323838455642 41.81310944439286),400153,UNO CHTR 15 - BRIGHTON PARK,"4420 S Fairfield Ave, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.69323838,41.81310945
POINT (-87.60257331721643 41.706666858314506),400156,NOBLE CHTR - BUTLER,"821 E 103rd St, 60628",HS,"9, 10",Charter,-87.60257332,41.70666686
POINT (-87.55620144124543 41.73462237120126),400157,NOBLE CHTR - BAKER COLLEGE PREP,"2710 E 89th St, 60617",HS,"9, 10",Charter,-87.55620144,41.73462237
POINT (-87.75752152784457 41.9221811558643),400159,CHRISTOPHER HOUSE CHTR,"5235 W Belden Ave, 60639",ES,"K, 1, 2",Charter,-87.75752153,41.92218116
POINT (-87.61796787063743 41.679318442476),400161,CHICAGO CHTR COLLEGIATE,"11816 S Indiana Ave, 60628",HS,"4, 5, 6",Charter,-87.61796787,41.67931844
POINT (-87.74112862663965 41.938988427629674),400162,INTRINSIC CHTR,"4540 W Belmont Ave, 60641",HS,"7, 9, 10",Charter,-87.74112863,41.93898843
POINT (-87.63996733091673 41.79355626721791),400163,KIPP CHTR - BLOOM,"5515 S Lowe Ave, 60621",ES,"5, 6",Charter,-87.63996733,41.79355627
POINT (-87.68590261126784 41.84595667350128),400164,INSTITUTO CHTR - RUDY LOZANO,"2520 S Western Ave, 60608",HS,12,Charter,-87.68590261,41.84595667
POINT (-87.70270389850388 41.8874127029833),400165,LEARN CHTR MIDDLE SCHOOL,"3021 W Carroll Ave, 60612Â",ES,"6, 7, 8",Charter,-87.7027039,41.8874127
POINT (-87.68396339328174 41.79520095247124),400167,HSA CHTR - SW CHICAGO,"5401 S. Western, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.68396339,41.79520095
POINT (-87.76980777391003 41.92563027059191),400169,NOBLE CHTR - ITW DAVID SPEER,"2456 N. Mango Ave., 60639",HS,9,Charter,-87.76980777,41.92563027
POINT (-87.62774252685402 41.882152483252696),400170,NOBLE CHTR - ACADEMY,"17 N. State, 60602",HS,9,Charter,-87.62774253,41.88215248
POINT (-87.65355218924192 41.69577857703619),400171,FOUNDATIONS CHTR,"1233 W. 109th Street, 60643",HS,"6, 7",Charter,-87.65355219,41.69577858
POINT (-87.70264475134516 41.80822578510756),400173,PATHWAYS IN EDUCATION - BRIGHTON PARK HS,"3124 W. 47th Street, 60632",HS,"9, 10, 11, 12",ALOP,-87.70264475,41.80822579
POINT (-87.55648708348222 41.75974863927389),400175,EXCEL ACADEMY - WOODLAWN,"7530 S South Shore Dr, 60649",HS,9,Contract,-87.55648708,41.75974864
POINT (-87.69073009115593 41.76592891992978),400176,EXCEL ACADEMY - SOUTHWEST,"7014 S Washtenaw Ave, 60629",HS,9,Contract,-87.69073009,41.76592892
POINT (-87.70928683080125 41.8611741880032),400177,KIPP CHTR - ASCEND PRIMARY,"1440 S. Christiana, 60623",ES,K,Charter,-87.70928683,41.86117419
POINT (-87.57326751568073 41.73717393358173),609674,CHICAGO VOCATIONAL HS,"2100 E 87th St, 60617",HS,"9, 10, 11, 12",District,-87.57326752,41.73717393
POINT (-87.61763743460318 41.84022557168194),609676,DUNBAR HS,"3000 S King Dr, 60616",HS,"9, 10, 11, 12",District,-87.61763744,41.84022557
POINT (-87.62767532291659 41.87306592282553),609678,JONES HS,"700 S State St, 60605",HS,"9, 10, 11, 12",District,-87.62767532,41.87306592
POINT (-87.76104831561555 41.92005939899792),609679,PROSSER HS,"2148 N Long Ave, 60639",HS,"9, 10, 11, 12",District,-87.76104832,41.9200594
POINT (-87.6353847656341 41.90157516912679),609680,PAYTON HS,"1034 N Wells St, 60610",HS,"9, 10, 11, 12",District,-87.63538477,41.90157517
POINT (-87.66227784587741 41.80288137497483),609682,RICHARDS HS,"5009 S Laflin St, 60609",HS,"9, 10, 11, 12",District,-87.66227785,41.80288138
POINT (-87.73523755588572 41.91167369206698),609691,NORTH-GRAND HS,"4338 W Wabansia Ave, 60639",HS,"9, 10, 11, 12",District,-87.73523756,41.91167369
POINT (-87.63541036888441 41.74578123023072),609692,SIMEON HS,"8147 S Vincennes Ave, 60620",HS,"9, 10, 11, 12",District,-87.63541037,41.74578123
POINT (-87.70733230830211 41.88997720311543),609693,GEORGE WESTINGHOUSE HS,"3223 W Franklin Blvd, 60624",HS,"9, 10, 11, 12",District,-87.70733231,41.8899772
POINT (-87.7244704643747 41.79146390854953),609694,HANCOCK HS,"4034 W 56th St, 60629",HS,"9, 10, 11, 12",District,-87.72447046,41.79146391
POINT (-87.67948421494859 41.97506725585589),609695,AMUNDSEN HS,"5110 N Damen Ave, 60625",HS,"9, 10, 11, 12",District,-87.67948422,41.97506726
POINT (-87.72109744629778 41.749375609339616),609698,BOGAN HS,"3939 W 79th St, 60652",HS,"9, 10, 11, 12",District,-87.72109745,41.74937561
POINT (-87.68197316226693 41.87694229995243),609702,CRANE HS,"2245 W Jackson Blvd, 60612",HS,12,District,-87.68197316,41.8769423
POINT (-87.70870563225235 41.84855987384877),609704,FARRAGUT HS,"2345 S Christiana Ave, 60623",HS,"PK, 9, 10, 11, 12",District,-87.70870563,41.84855988
POINT (-87.63757205080117 41.68995072454672),609705,FENGER HS,"11220 S Wallace St, 60628",HS,"9, 10, 11, 12",District,-87.63757205,41.68995073
POINT (-87.63715271773849 41.7697137956223),609707,ROBESON HS,"6835 S Normal Blvd, 60621",HS,"9, 10, 11, 12",District,-87.63715272,41.7697138
POINT (-87.6889539419451 41.79101283821026),609709,GAGE PARK HS,"5630 S Rockwell St, 60629",HS,"9, 10, 11, 12",District,-87.68895394,41.79101284
POINT (-87.6206234362719 41.71837234558635),609710,HARLAN HS,"9652 S Michigan Ave, 60628",HS,"7, 8, 9, 10, 11, 12",District,-87.62062344,41.71837235
POINT (-87.6690892964138 41.77512408303257),609711,HARPER HS,"6520 S Wood St, 60636",HS,"9, 10, 11, 12",District,-87.6690893,41.77512408
POINT (-87.60172726636009 41.75374795516494),609712,HIRSCH HS,"7740 S Ingleside Ave, 60619",HS,"9, 10, 11, 12",District,-87.60172727,41.75374796
POINT (-87.58661500994783 41.78225692669282),609713,HYDE PARK HS,"6220 S Stony Island Ave, 60637",HS,"9, 10, 11, 12",District,-87.58661501,41.78225693
POINT (-87.69463865990906 41.81872906307833),609715,KELLY HS,"4136 S California Ave, 60632",HS,"9, 10, 11, 12",District,-87.69463866,41.81872906
POINT (-87.73599882158966 41.92791840231072),609716,KELVYN PARK HS,"4343 W Wrightwood Ave, 60639",HS,"7, 8, 9, 10, 11, 12",District,-87.73599882,41.9279184
POINT (-87.7808397551086 41.7899612521533),609718,KENNEDY HS,"6325 W 56th St, 60638",HS,"9, 10, 11, 12",District,-87.78083976,41.78996125
POINT (-87.66895268958682 41.95476406721259),609719,LAKE VIEW HS,"4015 N Ashland Ave, 60613",HS,"9, 10, 11, 12",District,-87.66895269,41.95476407
POINT (-87.69101262674111 41.94664457419042),609720,LANE HS,"2501 W Addison St, 60618",HS,"7, 8, 9, 10, 11, 12",District,-87.69101263,41.94664457
POINT (-87.69989559044011 41.870938955765155),609722,MANLEY HS,"2935 W Polk St, 60612",HS,"9, 10, 11, 12",District,-87.69989559,41.87093896
POINT (-87.70805006977712 41.878444085129374),609723,MARSHALL HS,"3250 W Adams St, 60624",HS,"9, 10, 11, 12",District,-87.70805007,41.87844409
POINT (-87.7024963956971 41.98758868185385),609724,MATHER HS,"5835 N Lincoln Ave, 60659",HS,"9, 10, 11, 12",District,-87.7024964,41.98758868
POINT (-87.66565754522058 41.6920350088894),609725,MORGAN PARK HS,"1744 W Pryor Ave, 60643",HS,"7, 8, 9, 10, 11, 12",District,-87.66565755,41.69203501
POINT (-87.61635260657202 41.692762528429355),609726,BROOKS HS,"250 E 111th St, 60628",HS,"9, 10, 11, 12",District,-87.61635261,41.69276253
POINT (-87.61979634572873 41.82387996738068),609727,PHILLIPS HS,"244 E Pershing Rd, 60653",HS,"9, 10, 11, 12",District,-87.61979635,41.82387997
POINT (-87.71481861559978 41.96482788378516),609728,ROOSEVELT HS,"3436 W Wilson Ave, 60625",HS,"9, 10, 11, 12",District,-87.71481862,41.96482788
POINT (-87.73561211048235 41.94636454274745),609729,SCHURZ HS,"3601 N Milwaukee Ave, 60641",HS,"9, 10, 11, 12",District,-87.73561211,41.94636454
POINT (-87.66713618982065 41.98902853847887),609730,SENN HS,"5900 N Glenwood Ave, 60660",HS,"9, 10, 11, 12",District,-87.66713619,41.98902854
