SCHOOL_ID,the_geom,Short_Name,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
610199,POINT (-87.65811157769076 41.677532883313404),COLEMON,"1441 W 119TH ST, 60643",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.65811158,41.67753288
610200,POINT (-87.54444181708068 41.733329655443974),"THORP, J","8914 S BUFFALO AVE, 60617",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.54444182,41.73332966
610201,POINT (-87.77763072017828 41.94854387284602),"THORP, O","6024 W WARWICK AVE, 60634",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.77763072,41.94854387
610202,POINT (-87.73060309812726 41.88410160654041),TILTON,"223 N KEELER AVE, 60624",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7306031,41.88410161
610203,POINT (-87.70821584426878 41.78752266434451),TONTI,"5815 S HOMAN AVE, 60629",ES,"PE, PK, K, 1, 2, 3, 4, 5","District, non-alternative",-87.70821584,41.78752267
610206,POINT (-87.75889173551114 41.799046964763235),TWAIN,"5134 S LOTUS AVE, 60638",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.75889174,41.79904697
610207,POINT (-87.66552293325032 41.72082321350764),VANDERPOEL,"9510 S PROSPECT AVE, 60643",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.66552293,41.72082321
610208,POINT (-87.62714703184419 41.69623490888967),LAVIZZO,"138 W 109TH ST, 60628",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.62714703,41.69623491
610209,POINT (-87.72456845358892 41.971634203229314),VOLTA,"4950 N AVERS AVE, 60625",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.72456845,41.9716342
610212,POINT (-87.70970074586076 41.9711409276749),ALBANY PARK,"4929 N SAWYER AVE, 60625",MS,"7, 8","District, non-alternative",-87.70970075,41.97114093
