SCHOOL_ID,UNIT_ID,Short_Name,the_geom,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
610208,6260,LAVIZZO,POINT (-87.62709637960782 41.69629047990852),138 W 109TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.62709638,41.69629048
610034,4430,LAWNDALE,POINT (-87.71312754632689 41.86298531321973),3500 W DOUGLAS BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.71312755,41.86298531
610045,4550,LAWRENCE,POINT (-87.5671672115596 41.714401763006),9928 S CRANDON AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.56716721,41.71440176
400046,6770,LEARN CHTR - BUTLER,POINT (-87.71071357812143 41.86720510911085),1132 S HOMAN AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.71071358,41.86720511
400048,6775,LEARN CHTR - EXCEL,POINT (-87.68636255378775 41.87488627431128),2401 W CONGRESS PKWY,ES,"K, 1, 2, 3",Charter,-87.68636255,41.87488628
400047,8072,LEARN CHTR - NORTH LAWNDALE,POINT (-87.69877543097867 41.877860140681406),212 S FRANCISCO AVE,ES,"PK, K, 1, 2, 3, 4",Charter,-87.69877543,41.87786014
610291,7170,LEE,POINT (-87.72892339689756 41.77538826687025),6448 S TRIPP AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7289234,41.77538827
400049,5870,LEGACY CHARTER,POINT (-87.73054827191235 41.85685112156846),4217 W 18TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6",Charter,-87.73054827,41.85685112
610305,7320,LELAND,POINT (-87.75576462806113 41.8738238068074),5221 W CONGRESS PKWY,ES,"PK, K, 1, 2, 3",Elementary School,-87.75576463,41.87382381
610298,7240,LENART,POINT (-87.62799881730166 41.74705723405436),8101 S LA SALLE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.62799882,41.74705723
610036,4450,LEWIS,POINT (-87.75451312182071 41.90682215170582),1431 N LEAMINGTON AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.75451312,41.90682215
610037,4470,LIBBY,POINT (-87.65996614551153 41.79755645211711),5300 S LOOMIS BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65996615,41.79755645
610038,4480,LINCOLN,POINT (-87.64458452090898 41.924495896032084),615 W KEMPER PL,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.64458452,41.9244959
609738,1620,LINCOLN PARK HS,POINT (-87.64597703836314 41.9183900000963),2001 N ORCHARD ST,HS,"9, 10, 11, 12",High School,-87.64597704,41.91839
610391,7110,LINDBLOM HS,POINT (-87.67169876757447 41.78204929696389),6130 S WOLCOTT AVE,HS,"9, 10, 11, 12",High School,-87.67169877,41.7820493
610039,4490,LINNE,POINT (-87.70259905196127 41.940040915979104),3221 N SACRAMENTO AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.70259905,41.94004092
609834,2590,LITTLE VILLAGE ES,POINT (-87.71735431040445 41.84365842810154),2620 S LAWNDALE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.71735431,41.84365843
610040,4500,LLOYD,POINT (-87.748479434638 41.91886944344058),2103 N LAMON AVE,ES,"PK, K, 1, 2, 3, 4, 5",Elementary School,-87.74847943,41.91886944
610041,4510,LOCKE,POINT (-87.7956409370262 41.93176569839278),2828 N OAK PARK AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.79564094,41.9317657
400011,4730,LOCKE CHARTER,POINT (-87.70525860539068 41.87722067681596),3141 W JACKSON BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.70525861,41.87722068
610325,7560,LOGANDALE,POINT (-87.7080482722436 41.93399752033053),3212 W GEORGE ST,MS,"6, 7, 8",Elementary School,-87.70804827,41.93399752
610043,4530,LOVETT,POINT (-87.78397331081963 41.912689979371834),6333 W BLOOMINGDALE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.78397331,41.91268998
610044,4540,LOWELL,POINT (-87.71027069826057 41.90654636184669),3320 W HIRSCH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7102707,41.90654636
610029,4380,LOZANO,POINT (-87.66410994676421 41.90782265383561),1424 N CLEAVER ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.66410995,41.90782265
610046,4560,LYON,POINT (-87.77713582517984 41.93414428804182),2941 N MCVICKER AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.77713583,41.93414429
610215,6310,MADERO,POINT (-87.70513661991316 41.84098305287659),3202 W 28TH ST,MS,"6, 7, 8",Elementary School,-87.70513662,41.84098305
610047,4570,MADISON,POINT (-87.59067600753154 41.75956167343225),7433 S DORCHESTER AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.59067601,41.75956167
610048,4580,MANIERRE,POINT (-87.63986404521283 41.90827222581804),1420 N HUDSON AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.63986404,41.90827223
609722,1460,MANLEY HS,POINT (-87.69986540104476 41.87091189149478),2935 W POLK ST,HS,"9, 10, 11, 12",High School,-87.6998654,41.87091189
610052,4610,MANN,POINT (-87.57485390637619 41.74836601270813),8050 S CHAPPEL AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.57485391,41.74836601
610241,6590,MARCONI,POINT (-87.73936038918377 41.88426599540346),230 N KOLMAR AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.73936039,41.884266
610502,1085,MARINE MILITARY MATH AND SCIENCE ACADEMY,POINT (-87.68865069034504 41.87885400601593),145 S CAMPBELL AVE,HS,"9, 10",High School,-87.68865069,41.87885401
610053,4620,MARQUETTE,POINT (-87.69706883990543 41.77397379216068),6550 S RICHMOND ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.69706884,41.77397379
610054,4630,MARSH,POINT (-87.55251962100857 41.71655675553823),9822 S EXCHANGE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.55251962,41.71655676
609723,1470,MARSHALL HS,POINT (-87.7079297905691 41.878472976706284),3250 W ADAMS ST,HS,"9, 10, 11, 12",High School,-87.70792979,41.87847298
610321,7520,MARSHALL MIDDLE,POINT (-87.72036100540024 41.952114526310105),3900 N LAWNDALE AVE,MS,"7, 8",Elementary School,-87.72036101,41.95211453
610056,4650,MASON,POINT (-87.73054827191235 41.85685112156846),4217 W 18TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9",Elementary School,-87.73054827,41.85685112
609724,1480,MATHER HS,POINT (-87.70238689070867 41.987558577285576),5835 N LINCOLN AVE,HS,"9, 10, 11, 12",High School,-87.70238689,41.98755858
610058,4670,MAY,POINT (-87.74931189880543 41.87357612667309),512 S LAVERGNE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7493119,41.87357613
610059,4680,MAYER,POINT (-87.6573211774118 41.92311083540571),2250 N CLIFTON AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65732118,41.92311084
610061,4700,MAYO,POINT (-87.61979118830422 41.827327670820694),249 E 37TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.61979119,41.82732767
610290,7150,MAYS,POINT (-87.64615996587435 41.77256039974748),838 W MARQUETTE RD,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.64615997,41.7725604
609968,3770,MCAULIFFE,POINT (-87.72389331614903 41.91478313396467),1841 N SPRINGFIELD AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6",Elementary School,-87.72389332,41.91478313
610062,4710,MCCLELLAN,POINT (-87.64106554440845 41.82998017150845),3527 S WALLACE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.64106554,41.82998017
610260,6820,MCCORKLE,POINT (-87.62606202036716 41.81400480223014),4421 S STATE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.62606202,41.8140048
610063,4720,MCCORMICK,POINT (-87.70633421308133 41.842192032024336),2712 S SAWYER AVE,ES,"PK, K, 1, 2, 3, 4, 5",Elementary School,-87.70633421,41.84219203
610269,6910,MCCUTCHEON,POINT (-87.65472256410094 41.97098488215849),4865 N SHERIDAN RD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65472256,41.97098488
610066,4750,MCDADE,POINT (-87.61917418529552 41.73442231367853),8801 S INDIANA AVE,ES,"K, 1, 2, 3, 4, 5, 6",Elementary School,-87.61917418,41.73442231
610312,7390,MCDOWELL,POINT (-87.58963138838858 41.73310426116628),1419 E 89TH ST,ES,"PK, K, 1, 2, 3, 4, 5",Elementary School,-87.58963139,41.73310426
610067,4760,MCKAY,POINT (-87.69174841244497 41.76801569955821),6901 S FAIRFIELD AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.69174841,41.7680157
610353,7880,MCKINLEY PARK,POINT (-87.69390795062044 41.82291347512378),2744 W PERSHING RD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.69390795,41.82291348
610282,7040,MCNAIR,POINT (-87.74678466666491 41.89784610335366),4820 W WALTON ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.74678467,41.8978461
610070,4800,MCPHERSON,POINT (-87.67632513072779 41.96785074053533),4728 N WOLCOTT AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.67632513,41.96785074
610293,7190,MELODY,POINT (-87.73051772128562 41.87474954066647),412 S KEELER AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.73051772,41.87474954
609902,3190,METCALFE,POINT (-87.63427014619188 41.66948400440985),12339 S NORMAL AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.63427015,41.66948401
610171,5880,MIRELES,POINT (-87.55282162517852 41.73159655105495),9000 S EXCHANGE AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.55282162,41.73159655
610073,4840,MITCHELL,POINT (-87.6831660095821 41.89205503999657),2233 W OHIO ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.68316601,41.89205504
610276,6950,MOLLISON,POINT (-87.61657958560401 41.81429318930037),4415 S DR MARTIN LUTHER KING JR DR,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.61657959,41.81429319
610074,4850,MONROE,POINT (-87.71918627131387 41.92996178058238),3651 W SCHUBERT AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.71918627,41.92996178
610075,4860,MONTEFIORE ALT,POINT (-87.66648062258356 41.86470907734974),1310 S ASHLAND AVE,ES,"5, 6, 7, 8",Elementary School,-87.66648062,41.86470908
610076,4870,MOOS,POINT (-87.69690743068324 41.91259349727898),1711 N CALIFORNIA AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.69690743,41.9125935
610072,4830,MORGAN,POINT (-87.64003224573862 41.74120094878431),8407 S KERFOOT AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.64003225,41.74120095
609725,1490,MORGAN PARK HS,POINT (-87.66565202882627 41.6920641956568),1744 W PRYOR AVE,HS,"7, 8, 9, 10, 11, 12",High School,-87.66565203,41.6920642
610077,4880,MORRILL,POINT (-87.688510240641 41.784230111048394),6011 S ROCKWELL ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.68851024,41.78423011
610257,6800,MORTON,POINT (-87.70498840988921 41.88928357184757),431 N TROY ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.70498841,41.88928357
610082,4940,MOUNT GREENWOOD,POINT (-87.70577506666204 41.695783103238014),10841 S HOMAN AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.70577507,41.6957831
610086,4980,MOUNT VERNON,POINT (-87.64769083967268 41.70200595943535),10540 S MORGAN ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.64769084,41.70200596
610088,5000,MOZART,POINT (-87.72192674170574 41.92097305457066),2200 N HAMLIN AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6",Elementary School,-87.72192674,41.92097306
610385,7630,MULTI-CULTURAL ARTS HS,POINT (-87.7341937443269 41.8359816165421),3120 S KOSTNER AVE,HS,"9, 10, 11, 12",High School,-87.73419374,41.83598162
610089,5020,MURPHY,POINT (-87.71682512242504 41.95005039638608),3539 W GRACE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6",Elementary School,-87.71682512,41.9500504
610090,5030,MURRAY,POINT (-87.59330297360788 41.798497794875885),5335 S KENWOOD AVE,ES,"K, 1, 2, 3, 4, 5, 6",Elementary School,-87.59330297,41.7984978
400050,7920,NAMASTE CHARTER,POINT (-87.66768609379477 41.825663817934725),3737 S PAULINA ST,ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.66768609,41.82566382
610092,5050,NASH,POINT (-87.74717334210678 41.89214751644554),4837 W ERIE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.74717334,41.89214752
610231,6480,NATIONAL TEACHERS,POINT (-87.62911879512437 41.85277536785444),55 W CERMAK RD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6291188,41.85277537
610085,4970,NEAR NORTH,POINT (-87.6612391804027 41.89548305613285),739 N ADA ST,ES,"3, 4, 5, 6, 7, 8",Elementary School,-87.66123918,41.89548306
610093,5060,NEIL,POINT (-87.62089980589211 41.73851721310777),8555 S MICHIGAN AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.62089981,41.73851721
610094,5070,NETTELHORST,POINT (-87.64459725157705 41.94161534591479),3252 N BROADWAY,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.64459725,41.94161535
610284,7060,NEW FIELD,POINT (-87.67313287722182 42.007675793161894),1707 W MORSE AVE,ES,"PK, K, 1, 2, 3",Elementary School,-87.67313288,42.00767579
610323,7540,NEW MILLENNIUM HS,POINT (-87.55773310942119 41.733761304791884),2710 E 89TH ST,HS,"9, 10, 11",High School,-87.55773311,41.73376131
610095,5080,NEWBERRY,POINT (-87.64607532979625 41.91397357047731),700 W WILLOW ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.64607533,41.91397357
609793,2200,NICHOLSON,POINT (-87.64748671899514 41.7848939790531),6006 S PEORIA ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.64748672,41.78489398
610096,5090,NIGHTINGALE,POINT (-87.68917803159813 41.79780611295784),5250 S ROCKWELL ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.68917803,41.79780611
609961,3720,NINOS HEROES,POINT (-87.5518977862758 41.743746015131194),8344 S COMMERCIAL AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.55189779,41.74374602
610097,5100,NIXON,POINT (-87.73138446917365 41.91962190388641),2121 N KEELER AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6",Elementary School,-87.73138447,41.9196219
