SCHOOL_ID,Short_Name,SCH_ADDR,the_geom,GRADE_CAT,GRADES,SCH_TYPE,X,Y
609986,HENDERSON,"5650 S WOLCOTT AVE, 60636",POINT (-87.67188730722383 41.79059128467467),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.67188731,41.79059129
609987,HENDRICKS,"4316 S PRINCETON AVE, 60609",POINT (-87.63366447369806 41.81578774813853),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.63366447,41.81578775
609988,HENRY,"4250 N ST LOUIS AVE, 60618",POINT (-87.71563236685813 41.958988798787175),ES,"PK, K, 1, 2, 3, 4, 5, 6","District, non-alternative",-87.71563237,41.9589888
610240,HENSON,"1326 S AVERS AVE, 60623",POINT (-87.72154976465022 41.863564723837094),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.72154976,41.86356473
609989,HERBERT,"2131 W MONROE ST, 60612",POINT (-87.68031496415138 41.87986982094617),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.68031496,41.87986982
610532,HERNANDEZ,"3510 W 55TH ST, 60632",POINT (-87.71136992375675 41.793479327463935),MS,"6, 7, 8","District, non-alternative",-87.71136992,41.79347933
400075,UNIV OF CHGO CHTR-DONOGHUE,"707 E 37TH ST, 60653",POINT (-87.60850077601958 41.82772607730622),ES,"PK, K, 1, 2, 3, 4, 5",Charter,-87.60850078,41.82772608
400076,UNIV OF CHGO CHTR-NKO,"1119 E 46TH ST, 60653",POINT (-87.59851933416013 41.81136167679246),ES,"PK, K, 1, 2, 3, 4, 5",Charter,-87.59851933,41.81136168
400077,UNIV OF CHGO CHTR-WOODLAWN,"6420 S UNIVERSITY AVE, 60637",POINT (-87.59811391691477 41.778129696685504),HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.59811392,41.7781297
400112,UNO CHTR-51ST - HOMAN,"3434 W 51ST ST, 60632",POINT (-87.7101535187815 41.80081552458554),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.71015352,41.80081553
400081,UNO CHTR-DE LAS CASAS,"1641 W 16TH ST, 60608",POINT (-87.66794916591495 41.85950401018131),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.66794917,41.85950401
