School ID,School Short Name,School Name,Street Address,City,State,ZIP,Website,Managed By Network,Geographic Network,School Track,Overall Rating,On Probation,Years on Probation,Growth Overall Level,Growth EXPLORE,Growth PLAN,Growth ACT,Growth All Grades,Student Performance Level,Over Time EXPLORE 2010,Over Time PLAN 2011,Over Time ACT 2012,Average Score EXPLORE 2012,Average Score PLAN 2012,Average Score ACT 2012,5-Year Cohort Graduation Rate 2011 - Percent,5-Year Cohort Graduation Rate 2012 - Percent,One-Year Dropout Rate 2011 - Percent,One-Year Dropout Rate 2012 - Percent,Freshman On-Track to Graduate 2011 - Percent,Freshman On-Track to Graduate 2012 - Percent,College Eligibility 2011 - Percent,College Eligibility 2012 - Percent,College Enrollment 2011 - Percent,College Enrollment 2012 - Percent,College Retention 2009 - Percent,College Retention 2010 - Percent,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year,X Coordinate,Y Coordinate,Longitude,Latitude,Location
609691,North-grand HS,North-Grand High School,4338 W Wabansia Ave,Chicago,IL,60639,http://www.northgrandhs.cps.k12.il.us,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,5,Average,50,61.1,58.9,56.5,Far Below Average,13.32,14.18,15.4,13.51,14.48,15.4,69.7,65.9,2.5,5.1,81.3,76.4,15.8,17.2,41.3,52.5,55.4,57.8,Partially Organized,Weak,Neutral,Neutral,Neutral,Neutral,Neutral,31.3,65.4,2.4,4,88.6,85.7,95.6,96.1,No,,,"1,147,041.135","1,910,981.274",-87.73525151,41.91170094,"(-87.73525151, 41.91170094)"
609754,Chgo Military Acad HS,Chicago Military Academy High School,3519 S Giles Ave,Chicago,IL,60653,http://www.chicagomilitaryacademy.org,South Side High School Network,South Side High School Network,Standard,Level 3,Yes,1,Far Above Average,57.8,76.3,65.5,68,Below Average,14.75,15.65,18,14.44,15.63,18,83.6,68.5,5.1,9.1,88.1,93.4,24.4,19.8,69.3,57.7,63.9,80.3,Partially Organized,Not Enough Data,Weak,Neutral,Not Enough Data,Not Enough Data,Neutral,39.8,22.2,2.6,2.2,90.3,89.7,95.6,96.2,No,,,"1,178,881.169","1,881,647.166",-87.61917837,41.83053768,"(-87.61917837, 41.83053768)"
610390,Rickover HS,Hyman G Rickover Naval Academy High School,5900 N Glenwood Ave,Chicago,IL,60660,http://www.rickovernaval.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 2,No,0,Average,50,64.4,57.5,57.6,Below Average,15.19,15.84,18.5,15.25,16.31,18.5,63,72.1,3.5,2.2,90.7,88.3,23.4,19.2,63.5,63.6,72.3,58.8,Organized,Strong,Strong,Neutral,Neutral,Neutral,Strong,11.3,11,3,1.9,92.9,93.3,95.9,95.9,Pending,,,"1,165,871.81","1,939,308.369",-87.66526222,41.98905063,"(-87.66526222, 41.98905063)"
609695,Amundsen HS,Roald Amundsen High School,5110 N Damen Ave,Chicago,IL,60625,http://www.amundsenhs.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 3,Yes,3,Above Average,47.5,65.2,66.3,60,Below Average,13.84,14.73,16.8,14.22,14.96,16.8,64.6,65.1,6.9,6,72.2,73.8,16,22.5,49.1,54.4,69.6,64.8,Partially Organized,Neutral,Neutral,Neutral,Weak,Neutral,Neutral,69.5,89.1,4.5,4.4,81.1,82.4,95.9,95.6,No,,,"1,162,034.157","1,934,187.196",-87.67952139,41.97507922,"(-87.67952139, 41.97507922)"
609734,Taft HS,William Howard Taft High School,6530 W Bryn Mawr Ave,Chicago,IL,60631,,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 2,No,0,Average,48,63.4,65.7,58.8,Below Average,15.46,16.67,18.4,15.48,16.71,18.4,67.4,73.5,2,3.5,77.3,73.1,32.3,29.9,62.2,66.6,81,79,Well-organized,Strong,Neutral,Neutral,Strong,Strong,Strong,36.7,40.1,2.6,2.4,89.1,89.3,96.1,95.8,No,,,"1,131,556.247","1,936,856.822",-87.7915383,41.98298852,"(-87.7915383, 41.98298852)"
610383,Greater Lawndale HS,Greater Lawndale High School For Social Justice,3120 S Kostner Ave,Chicago,IL,60623,http://sj.lvlhs.org,West Side High School Network,West Side High School Network,Track E,Level 2,No,0,Average,49.4,61.6,,56,Below Average,13.91,14.67,16.2,14.45,15.54,16.2,67,70.9,3,2.5,87.4,83,14.9,26.2,57.4,47.1,71.4,72.7,Moderately Organized,Neutral,Neutral,Strong,Neutral,Weak,Neutral,68.7,59,3,3.9,87.5,88.9,95.1,94.4,No,,,"1,147,521.302","1,883,405.128",-87.73419465,41.83601953,"(-87.73419465, 41.83601953)"
400091,Chicago Tech Academy,Chicago Technology Academy High School,1301 W 14th St,Chicago,IL,60608,http://www.chicagotechacademy.org,Charter/Contract Schools,West Side High School Network,Nonstandard,Not Enough Data,No,0,Not Enough Data,,,,,Far Below Average,13.38,15.17,15,13,13.66,15,,,8.1,6.2,,,,,,,,,Not Yet Organized,Very Weak,Neutral,Neutral,Weak,Weak,Neutral,83,90.3,2.7,2,87.5,84.2,,,No,,,"1,167,895.908","1,893,487.722",-87.65914247,41.86327277,"(-87.65914247, 41.86327277)"
609724,Mather HS,Stephen T Mather High School,5835 N Lincoln Ave,Chicago,IL,60659,http://www.matherhs.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 2,No,0,Above Average,55.8,68.8,65.5,63.2,Below Average,14.96,15.59,16.7,14.23,15.53,16.7,56.2,60.9,9,6.7,59,63.1,24.6,20.3,57.4,64.2,80,69.4,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,66,91.5,3.1,2.8,87.6,88.7,96.5,96.4,Pending,,,"1,155,766.152","1,938,701.409",-87.70244871,41.9875954,"(-87.70244871, 41.9875954)"
609726,Brooks HS,Gwendolyn Brooks College Preparatory Academy HS,250 E 111th St,Chicago,IL,60628,http://www.brookscollegeprep.org,Far South Side High School Network,Far South Side High School Network,Standard,Level 1,No,0,Far Above Average,65.7,67.8,69.4,67.7,Average,18.1,18.79,21.8,19.05,19.23,21.8,88.1,88.2,1.8,0.9,90.3,92.6,51.1,58,87.9,85.8,87.2,82.9,Organized,Not Enough Data,Neutral,Strong,Not Enough Data,Not Enough Data,Strong,,8.6,,3.7,87.1,90.1,95.2,95.3,No,,,"1,180,061.781","1,831,459.213",-87.61638144,41.69278956,"(-87.61638144, 41.69278956)"
609738,Lincoln Park HS,Lincoln Park High School,2001 N Orchard St,Chicago,IL,60614,http://www.lincolnparkhs.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 2,No,0,Above Average,50.5,59.3,71.1,59.5,Above Average,17.89,19.05,22.3,18.06,19.36,22.3,77.9,73.1,1.5,3.5,74.4,76.5,53.6,54,75.5,81,80.3,83.5,Organized,Strong,Neutral,Strong,Weak,Neutral,Strong,51.7,38.6,2.5,3.3,84.6,86.3,96,95.6,No,,,"1,171,322.336","1,913,569.392",-87.64597389,41.91830362,"(-87.64597389, 41.91830362)"
610297,School Of Leadrshp HS,High School of Leadership at South Shore,7627 S Constance Ave,Chicago,IL,60649,,South Side High School Network,South Side High School Network,Standard,Level 3,Yes,7,Below Average,,52.7,47.1,49.4,Far Below Average,11.65,13.07,13.9,,13.53,13.9,36.6,42.6,21.4,11.2,48.8,,12.2,6.1,68.8,55.3,57.7,42.1,Not Yet Organized,Weak,Weak,Neutral,Neutral,Weak,Weak,56.8,53.9,3.4,3.2,72,70.9,95.2,93.9,No,,,"1,189,903.206","1,854,648.757",-87.57960727,41.75619362,"(-87.57960727, 41.75619362)"
609705,Fenger HS,Christian Fenger Academy High School,11220 S Wallace St,Chicago,IL,60628,http://www.fengerhighschool.org,Far South Side High School Network,Far South Side High School Network,Track E,Level 3,Yes,17,Below Average,47.7,53.6,,50.4,Far Below Average,12.36,13.23,14.1,12.38,14.02,14.1,34.8,45.1,19.7,16.5,68.2,71.9,11.3,8.6,36.7,49.3,42.9,49.4,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Neutral,27.8,21.6,4.3,4.4,74.4,77.9,95.4,95.1,Pending,,,"1,174,272.711","1,830,372.91",-87.63760833,41.68993885,"(-87.63760833, 41.68993885)"
609711,Harper HS,William Rainey Harper High School,6520 S Wood St,Chicago,IL,60636,http://www.harperhighschool.org,Southwest Side High School Network,Southwest Side High School Network,Track E,Level 3,Yes,17,Far Below Average,45.6,40.2,,42.6,Far Below Average,12.75,13.76,14.6,12.23,13.81,14.6,37,43.1,14.5,12.1,64.2,71.2,5.9,9.8,40.3,38.5,46.7,41.4,Moderately Organized,Neutral,Not Enough Data,Not Enough Data,Neutral,Neutral,Not Enough Data,69.5,44.2,3.3,3,73,78.9,94.7,95,No,,,"1,165,424.867","1,861,341.255",-87.66912563,41.77511222,"(-87.66912563, 41.77511222)"
609737,Von Steuben HS,Friedrich W Von Steuben Metropolitan Science HS,5039 N Kimball Ave,Chicago,IL,60625,http://www.vonsteuben.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 1,No,0,Above Average,60.2,69.9,70.9,66.3,Average,16,16.84,20.2,15.76,17.33,20.2,88.2,88.2,0.8,1.1,76.8,77.3,34.6,38.6,78.5,80.1,84.3,77.3,Organized,Strong,Neutral,Strong,Weak,Neutral,Strong,74.2,71.4,3.3,2.4,87,89.6,95.6,95.4,No,,,"1,152,840.522","1,933,431.315",-87.71334969,41.9731926,"(-87.71334969, 41.9731926)"
609762,Julian HS,Percy L Julian High School,10330 S Elizabeth St,Chicago,IL,60643,http://www.pljulianhs.net,Far South Side High School Network,Far South Side High School Network,Standard,Level 2,Yes,9,Above Average,61.5,56.3,62.4,60.1,Far Below Average,13.27,13.96,15.5,12.98,14.53,15.5,60.3,55,7.2,6,65.3,65.1,8.3,7.3,54.9,55.8,73.3,71.3,Partially Organized,Neutral,Weak,Neutral,Neutral,Neutral,Weak,18.6,28.5,4.3,4,74.6,75.9,94.2,93.7,No,,,"1,169,808.363","1,836,139.004",-87.65378585,41.70585971,"(-87.65378585, 41.70585971)"
609718,Kennedy HS,John F Kennedy High School,6325 W 56th St,Chicago,IL,60638,http://www.kennedyhschicago.org,Southwest Side High School Network,Southwest Side High School Network,Standard,Level 2,Yes,9,Above Average,69.1,67.9,61.7,66.4,Below Average,15.22,16.07,17.9,15.61,16.27,17.9,53.3,62.3,7.9,7.6,59.7,60.4,24.4,22.6,52.9,51.8,76.1,75,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Neutral,28.8,17.7,1.7,2.1,83,83.1,94.7,94.9,No,,,"1,135,044.301","1,866,707.447",-87.78037224,41.79042796,"(-87.78037224, 41.79042796)"
610380,"Williams, D",Daniel Hale Williams Prep School of Medicine,4934 S Wabash Ave,Chicago,IL,60615,http://www.dhwprepmed.org,South Side High School Network,South Side High School Network,Standard,Level 2,No,0,Above Average,61.5,68.1,57.4,62.7,Below Average,15.18,15.49,18,15.06,16.68,18,,81.7,1.1,1,90.1,86.3,32.7,18.8,,74.5,,,Moderately Organized,Neutral,Neutral,Strong,Weak,Neutral,Neutral,42.8,35.4,2.9,3.3,91.3,88.9,96.7,96.4,No,,,"1,177,513.255","1,872,170.444",-87.62448408,41.80456384,"(-87.62448408, 41.80456384)"
609694,Hancock HS,John Hancock College Preparatory High School,4034 W 56th St,Chicago,IL,60629,http://www.hancockhs.org,Southwest Side High School Network,Southwest Side High School Network,Standard,Level 2,Yes,6,Above Average,65.2,56.8,62.8,61.9,Below Average,14.85,15.18,16.9,14.88,15.84,16.9,56.1,64,7.2,3.9,87.4,91.8,22.6,22,45.9,50.6,66.2,68.2,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,18.1,9.7,2.6,3.7,78.2,84,95.9,96.4,No,,,"1,150,280.45","1,867,197.827",-87.72449161,41.79149114,"(-87.72449161, 41.79149114)"
609755,Young HS,Whitney M Young Magnet High School,211 S Laflin St,Chicago,IL,60607,http://www.wyoung.org,West Side High School Network,West Side High School Network,Standard,Level 1,No,0,Far Above Average,74.1,70.2,66.7,70.4,Far Above Average,21.05,22.99,27,21.19,23.4,27,93.9,91.2,1.3,0.4,96.7,97,89,91.6,88.3,86.9,91.2,90.4,Well-organized,Very Strong,Strong,Strong,Very Strong,Strong,Very Strong,75,43.8,4.4,2.5,94.6,95.5,94.9,95.1,No,Yes,2009,"1,166,475.742","1,899,058.627",-87.66419634,41.87859028,"(-87.66419634, 41.87859028)"
609746,Kenwood HS,Kenwood Academy High School,5015 S Blackstone Ave,Chicago,IL,60615,http://www.kenwoodacademy.org,South Side High School Network,South Side High School Network,Standard,Level 2,No,0,Average,68,44.1,62.4,58.5,Below Average,15.62,16.74,19.3,15.66,16.98,19.3,69.5,76.5,1.9,1.1,70.3,71.5,26.8,30.7,79.7,83,76.2,75.8,Partially Organized,Neutral,Neutral,Neutral,Very Weak,Very Weak,Strong,95.1,97.1,3.9,3.2,88.4,87.8,95.3,95.2,No,,,"1,186,813.047","1,871,954.152",-87.59038395,41.80375479,"(-87.59038395, 41.80375479)"
610513,Air Force HS,Air Force Academy High School,3630 S Wells St,Chicago,IL,60609,http://www.afahs.org,Southwest Side High School Network,Southwest Side High School Network,Standard,Level 2,No,0,Far Above Average,74.3,82.9,54.7,70.6,Below Average,14.61,16.14,18.2,15.29,16.27,18.2,,,5,0.7,91.8,97.4,,,,,,,Organized,Neutral,Strong,Neutral,Neutral,Neutral,Neutral,13.1,11.6,3,3.2,93.3,82.9,96.9,97.2,Yes,,,"1,175,177.622","1,880,745.126",-87.63279369,41.82814609,"(-87.63279369, 41.82814609)"
610402,Devry HS,DeVry University Advantage Academy HS,3300 N Campbell,Chicago,IL,60618,http://www.devry.cps.k12.il.us,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 1,No,0,Not Enough Data,,,,,Average,,,21,,,21,,,0.5,0.5,,,40.6,72.5,63.3,83,79.4,83.6,Well-organized,Very Strong,Strong,Very Strong,Very Strong,Very Strong,Very Strong,,63.6,,2.1,96.7,97.6,94.5,97,No,,,"1,159,059.411","1,921,900.745",-87.6907993,41.94142629,"(-87.6907993, 41.94142629)"
610389,Orr HS,Orr Academy High School,730 N Pulaski Rd,Chicago,IL,60624,http://www.orracademy.org,AUSL Schools,West Side High School Network,Standard,Level 3,Yes,2,Below Average,,,44.8,44.8,Far Below Average,11.93,13.38,14.3,12.03,13.59,14.3,,,20.1,21.4,59.5,42.9,5.8,11.6,51.9,42.4,47.5,61.5,Partially Organized,Very Weak,Neutral,Strong,Very Weak,Weak,Neutral,66.7,52.2,2.5,4.3,66.3,58,95,94.3,No,,,"1,149,548.53","1,904,711.708",-87.72620305,41.89444828,"(-87.72620305, 41.89444828)"
609680,Payton HS,Walter Payton College Preparatory High School,1034 N Wells St,Chicago,IL,60610,http://www.wpcp.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 1,No,0,Far Above Average,75,68.8,,72.7,Far Above Average,21.41,23.35,27.8,21.95,23.74,27.8,96.9,90.9,1.9,1.9,90.7,92.3,96.4,93.1,82.4,84.6,96.1,97.1,Well-organized,Very Strong,Very Strong,Very Strong,Strong,Strong,Very Strong,23.5,34.3,3.8,4.1,93.4,93.9,96.1,96.2,No,Yes,2008,"1,174,484.638","1,907,490.082",-87.63453744,41.90155157,"(-87.63453744, 41.90155157)"
609732,Steinmetz College Prep HS,Charles P Steinmetz College Preparatory HS,3030 N Mobile Ave,Chicago,IL,60634,http://www.steinmetzac.com,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 2,Yes,9,Below Average,37.2,59.1,60.5,51.8,Below Average,13.28,14.23,16.4,13.95,14.72,16.4,56.7,58.6,8,8.2,70.3,73.6,16.3,15.9,47,48.8,62.1,61.6,Moderately Organized,Neutral,Not Enough Data,Not Enough Data,Neutral,Neutral,Not Enough Data,57.8,36.5,3,3,79.2,82.2,96.2,95.7,Pending,,,"1,133,838.348","1,919,613.694",-87.78355194,41.93563171,"(-87.78355194, 41.93563171)"
610543,Solorio HS,Eric Solorio Academy High School,5400 S St Louis Ave,Chicago,IL,60632,http://www.solorioacademy.cps.k12.il.us,AUSL Schools,Southwest Side High School Network,Standard,Not Enough Data,No,0,Not Enough Data,,,,,Not Enough Data,,,,14.19,16.54,,,,1.3,3,85.6,84.6,,,,,,,Well-organized,Strong,Strong,Strong,Strong,Very Strong,Neutral,86.2,59,1.8,1.5,92.2,92.2,,97.1,No,,,"1,153,924.117","1,868,568.611",-87.71109447,41.79518118,"(-87.71109447, 41.79518118)"
610323,Bowen HS,Bowen High School,2710 E 89th St,Chicago,IL,60617,http://www.bowenhs.org,South Side High School Network,South Side High School Network,Standard,Level 3,Yes,5,Average,,,54,53.4,Far Below Average,12.37,13.24,14.2,12.1,13.16,14.2,67.2,56.9,4.1,0.2,62.1,70,16.7,13.3,52.4,53.8,57.8,61.2,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Weak,39.9,39.8,4.2,2.6,75.6,76.4,94.7,95.6,No,,,"1,195,939.937","1,846,527.528",-87.55775263,41.73376107,"(-87.55775263, 41.73376107)"
609674,Chicago Vocational HS,Chicago Vocational Career Academy High School,2100 E 87th St,Chicago,IL,60617,http://cvcacademy.org,South Side High School Network,South Side High School Network,Standard,Level 3,Yes,11,Above Average,64.5,74.5,57.4,64.5,Far Below Average,13,13.5,14.7,11.93,13.88,14.7,49.5,55.2,6.8,3.2,44.1,71.7,7,6.4,54,62.3,62.7,59.4,Moderately Organized,Strong,Weak,Neutral,Neutral,Neutral,Weak,37,47.6,3.8,3.8,68.8,80.4,94.6,94.3,No,,,"1,191,700.593","1,847,743.551",-87.57324389,41.73720173,"(-87.57324389, 41.73720173)"
610394,Uplift HS,Uplift Community High School,900 W Wilson Ave,Chicago,IL,60640,http://www.uplifths.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 2,No,0,Above Average,60.6,63.6,62.5,62.2,Below Average,13.6,15.06,16.5,13.93,15.2,16.5,62.4,70.7,1.1,2.8,91.4,84.8,19.6,26.3,65,65.4,60,59.3,Partially Organized,Neutral,Neutral,Neutral,Weak,Neutral,Neutral,30.7,43.1,3.3,3.2,88.7,90.3,95.9,95.1,Pending,,,"1,169,403.401","1,930,780.685",-87.65252191,41.96557412,"(-87.65252191, 41.96557412)"
609727,Phillips HS,Wendell Phillips Academy High School,244 E Pershing Rd,Chicago,IL,60653,http://www.phillips.cps.k12.il.us,AUSL Schools,South Side High School Network,Track E,Level 3,Yes,17,Far Below Average,,,29.3,28.2,Far Below Average,11.52,13.1,14.1,13.13,14.18,14.1,40.3,41.2,32.8,3.5,32.1,65,2.5,6.9,42.6,39.2,47.5,42.6,Organized,Neutral,Neutral,Strong,Strong,Neutral,Neutral,85.9,92.5,3.2,3.1,63,70.3,96.1,95.4,No,,,"1,178,735.106","1,879,229.78",-87.61978794,41.82390751,"(-87.61978794, 41.82390751)"
609741,Hubbard HS,Gurdon S Hubbard High School,6200 S Hamlin Ave,Chicago,IL,60629,http://www.hubbard.cps.k12.il.us,Southwest Side High School Network,Southwest Side High School Network,Standard,Level 3,Yes,1,Far Above Average,72.5,65.5,70,69.5,Below Average,14.68,15.46,17.8,14.56,15.39,17.8,57.2,62.8,9,7.4,64.5,73.1,30.1,25.4,51.3,59.7,73.5,73.4,Well-organized,Strong,Neutral,Neutral,Very Strong,Strong,Neutral,10.5,27,4.3,3.1,89.3,89.9,96.4,96.8,Pending,,,"1,152,065.741","1,863,208.025",-87.71804991,41.78050763,"(-87.71804991, 41.78050763)"
610245,Douglass HS,Frederick A Douglass Academy High School,543 N Waller Ave,Chicago,IL,60644,http://www.douglassacademy.org,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,5,Below Average,50,59.2,32.6,48,Far Below Average,13.31,13.5,14.7,12.34,13.62,14.7,52.8,60.4,4,0.6,77.1,70.5,5.1,8.7,39.5,39.2,50,27.9,Well-organized,Strong,Not Enough Data,Not Enough Data,Strong,Strong,Not Enough Data,49,72.3,5.9,5.2,79.2,76.9,94.7,94.3,No,,,"1,138,278.715","1,903,151.591",-87.76763207,41.89037849,"(-87.76763207, 41.89037849)"
609707,Robeson HS,Paul Robeson High School,6835 S Normal Blvd,Chicago,IL,60621,http://www.prhs.org,Southwest Side High School Network,Southwest Side High School Network,Track E,Level 3,Yes,17,Far Below Average,44.3,42.3,41.2,42.5,Far Below Average,11.74,12.96,13.8,11.06,12.65,13.8,40.6,43.9,4.3,18.6,53.3,51.2,2.9,8.1,42.2,47.4,48.4,51.7,Partially Organized,Weak,Not Enough Data,Not Enough Data,Neutral,Neutral,Not Enough Data,67.2,64.6,4.6,5.1,73.5,74.9,94.7,94.5,No,,,"1,174,171.884","1,859,450.314",-87.63711641,41.76973341,"(-87.63711641, 41.76973341)"
609749,Northside Prep HS,Northside College Preparatory High School,5501 N Kedzie Ave,Chicago,IL,60625,http://www.northsideprep.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 1,No,0,Far Above Average,80.5,74.7,,77.7,Far Above Average,22.42,24.7,29.6,22.2,24.59,29.6,97.6,98.3,0.1,0.4,95.9,98.5,98,97.6,90.7,87.5,95.8,92.1,Well-organized,Very Strong,Very Strong,Very Strong,Strong,Strong,Very Strong,15.5,14.7,4,3.8,95.7,95.9,96.8,96.2,No,Yes,2011,"1,154,090.859","1,936,413.866",-87.70867192,41.98135196,"(-87.70867192, 41.98135196)"
610547,South Shore Intl HS,South Shore Intl College Prep High School,1955 E 75th St,Chicago,IL,60649,http://www.southshoreinternational.org,South Side High School Network,South Side High School Network,Standard,Not Enough Data,No,0,Below Average,51.2,,,51.2,Not Enough Data,,,,13.71,,,,,,2.7,,77.4,,,,,,,Organized,Neutral,Neutral,Neutral,Strong,Strong,Neutral,,64.2,,4.8,,85.3,,94.2,No,,,"1,190,778.553","1,855,593.152",-87.57636891,41.75876403,"(-87.57636891, 41.75876403)"
609704,Farragut HS,David G Farragut Career Academy High School,2345 S Christiana Ave,Chicago,IL,60623,http://www.farragutcareeracademy.org,West Side High School Network,West Side High School Network,Standard,Level 2,No,0,Average,58.7,49,55.2,54.3,Far Below Average,13.01,14.23,15.9,12.84,14.45,15.9,43.2,47.6,13.6,9.3,68.6,64.7,13.4,16.3,31.3,38.9,61.5,58.2,Partially Organized,Weak,Neutral,Neutral,Weak,Neutral,Neutral,16.5,14,2.8,3.5,86.1,83.4,95.2,95.2,No,,,"1,154,443.895","1,888,031.41",-87.70866954,41.8485793,"(-87.70866954, 41.8485793)"
609723,Marshall HS,John Marshall Metropolitan High School,3250 W Adams St,Chicago,IL,60624,http://www.marshallmetrohighschool.org,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,17,Above Average,64.3,58.6,,61.6,Far Below Average,11.81,13.44,14.4,12.29,13.79,14.4,36.8,48.2,18.3,13,55.2,57.6,6.5,5.3,45.2,43,65.5,48.6,Partially Organized,Neutral,Neutral,Weak,Neutral,Weak,Neutral,43,28,2.5,3.1,74.1,77.4,95.8,93.9,No,,,"1,154,542.583","1,898,925.511",-87.70801612,41.87847194,"(-87.70801612, 41.87847194)"
609693,George Westinghouse HS,George Westinghouse High School,3223 W Franklin Blvd,Chicago,IL,60624,http://www.newwestinghouse.org,West Side High School Network,West Side High School Network,Standard,Level 1,No,0,Above Average,57.5,68.4,,63.2,Average,16.14,17.18,20,17.08,18.63,20,,,1.4,1.3,90.5,90.2,,,,,,,Well-organized,Strong,Strong,Strong,Very Strong,Strong,Strong,73.2,72.1,2.2,2.8,93.6,93.5,96.8,96.5,No,,,"1,154,695.243","1,903,109.304",-87.70734353,41.88994963,"(-87.70734353, 41.88994963)"
610381,Bronzeville HS,Bronzeville Scholastic Academy High School,4934 S Wabash Ave,Chicago,IL,60615,http://www.bronzevillescholastic.com,South Side High School Network,South Side High School Network,Standard,Level 3,Yes,4,Average,52.8,58.7,50.9,54.1,Below Average,14.67,15.89,16.9,14.54,15.37,16.9,85.3,72.3,2.6,4.1,71.1,69.3,14.7,15.3,73.2,74.1,73.2,64.8,Not Yet Organized,Weak,Neutral,Neutral,Weak,Very Weak,Neutral,50.5,43.9,3.1,2.9,92.3,91.7,95.6,94.6,No,,,"1,177,513.255","1,872,170.444",-87.62448408,41.80456384,"(-87.62448408, 41.80456384)"
609736,Dyett HS,Dyett High School,555 E 51st St,Chicago,IL,60615,http://www.dyett.cps.k12.il.us,South Side High School Network,South Side High School Network,Track E,Level 3,Yes,8,Average,53.8,51.3,55.6,53.5,Far Below Average,12.08,13.11,14.7,11.63,13.52,14.7,33.7,44,16.3,18.6,37.1,53.4,3.3,6.9,51,63.2,54.5,53.1,Not Yet Organized,Weak,Weak,Neutral,Weak,Weak,Weak,75.5,84,3.1,3.3,62.5,65.8,93.5,93.6,No,,,"1,180,944.201","1,871,282.832",-87.61192836,41.80204982,"(-87.61192836, 41.80204982)"
610518,Voise HS,VOISE Academy High School,231 N Pine Ave,Chicago,IL,60644,http://www.voiseacademy.org,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,2,Average,38.7,65.8,64.8,55.4,Far Below Average,12.93,13.8,15.6,12.9,14.1,15.6,,,4.7,0.6,82,77.3,,12.1,,,,,Well-organized,Neutral,Neutral,Strong,Strong,Strong,Neutral,61.5,57.1,4.1,3.3,84.5,82,96.5,95.3,No,,,"1,139,494.763","1,901,274.258",-87.76321191,41.88520477,"(-87.76321191, 41.88520477)"
609733,Sullivan HS,Roger C Sullivan High School,6631 N Bosworth Ave,Chicago,IL,60626,http://www.sullivanhs.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 3,Yes,8,Below Average,47.5,60.3,45.5,50,Far Below Average,12.64,13.78,14.5,13.23,14.14,14.5,39.3,45.2,11.7,11.3,68.6,62.4,14.8,14.5,52.1,63.2,84.9,67.1,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Weak,23.4,36.9,2.9,2.8,81.6,80.2,95.8,95.6,Pending,,,"1,164,774.883","1,944,269.292",-87.66915533,42.00268694,"(-87.66915533, 42.00268694)"
609716,Kelvyn Park HS,Kelvyn Park High School,4343 W Wrightwood Ave,Chicago,IL,60639,http://www.kelvynparkhs.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 3,Yes,17,Above Average,54.5,67.2,58.8,59.1,Far Below Average,12.8,13.77,15.2,13.09,14.2,15.2,54.1,58.5,6,11.8,56.9,65.3,16.7,14.4,35,37.1,59.3,54.2,Partially Organized,Not Enough Data,Neutral,Weak,Not Enough Data,Not Enough Data,Neutral,23.6,10.3,2.2,2.8,74.4,76.3,94.5,94.9,No,,,"1,146,795.845","1,916,879.493",-87.73600171,41.92789092,"(-87.73600171, 41.92789092)"
609756,Curie HS,Marie Sklodowska Curie Metropolitan High School,4959 S Archer Ave,Chicago,IL,60632,http://www.curiehs.org,Southwest Side High School Network,Southwest Side High School Network,Standard,Level 3,Yes,4,Far Above Average,69.2,63.2,,66.5,Below Average,14.26,14.98,17.3,14.21,15.24,17.3,76.1,76.8,3.2,2.9,61,65.2,22.9,25.1,61.3,62,81.5,78.4,Not Yet Organized,Weak,Weak,Neutral,Very Weak,Weak,Neutral,42.3,35.9,2.7,2.8,85,83.1,95,95.2,No,,,"1,150,928.132","1,871,413.203",-87.72200673,41.80304615,"(-87.72200673, 41.80304615)"
