School ID,School Short Name,School Name,Street Address,City,State,ZIP,Website,Managed By Network,Geographic Network,School Track,Overall Rating,On Probation,Years on Probation,Growth Overall Level,Growth EXPLORE,Growth PLAN,Growth ACT,Growth All Grades,Student Performance Level,Over Time EXPLORE 2010,Over Time PLAN 2011,Over Time ACT 2012,Average Score EXPLORE 2012,Average Score PLAN 2012,Average Score ACT 2012,5-Year Cohort Graduation Rate 2011 - Percent,5-Year Cohort Graduation Rate 2012 - Percent,One-Year Dropout Rate 2011 - Percent,One-Year Dropout Rate 2012 - Percent,Freshman On-Track to Graduate 2011 - Percent,Freshman On-Track to Graduate 2012 - Percent,College Eligibility 2011 - Percent,College Eligibility 2012 - Percent,College Enrollment 2011 - Percent,College Enrollment 2012 - Percent,College Retention 2009 - Percent,College Retention 2010 - Percent,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year,X Coordinate,Y Coordinate,Longitude,Latitude,Location
609698,Bogan HS,William J Bogan High School,3939 W 79th St,Chicago,IL,60652,http://www.boganhs.org,Southwest Side High School Network,Southwest Side High School Network,Standard,Level 2,Yes,9,Average,55.2,57.4,59.4,57.4,Far Below Average,13.44,14.28,15.7,13.3,14.12,15.7,52.5,56,12.6,0.3,67.1,74.9,13.1,11.5,50,53.9,61.7,63,Not Yet Organized,Weak,Weak,Weak,Very Weak,Very Weak,Weak,61.3,24.2,4.5,4.6,75.2,80.3,94.3,93.8,No,,,"1,151,315.548","1,851,847.859",-87.72109673,41.74934817,"(-87.72109673, 41.74934817)"
609709,Gage Park HS,Gage Park High School,5630 S Rockwell St,Chicago,IL,60629,http://www.gageparkhs.org,Southwest Side High School Network,Southwest Side High School Network,Track E,Level 2,Yes,17,Average,57.9,46.6,52.5,52.6,Far Below Average,12.75,13.75,15,12.71,14.05,15,52.8,49.6,6.4,10.6,46,73.9,7.9,5.1,40.3,42,59.6,59.9,Not Yet Organized,Neutral,Weak,Neutral,Weak,Weak,Weak,52,67.7,2.9,2.9,72.5,75.1,94,93.1,No,,,"1,159,962.875","1,867,094.347",-87.68899064,41.79101352,"(-87.68899064, 41.79101352)"
609739,Washington HS,George Washington High School,3535 E 114th St,Chicago,IL,60617,http://www.gwashingtonhs.org,Far South Side High School Network,Far South Side High School Network,Standard,Level 2,No,0,Below Average,41,51.2,53.1,48.3,Below Average,13.69,14.16,16.2,13.69,14.73,16.2,71.6,71.3,0.8,5.1,78.6,82.4,14,18.7,50.9,34.6,70.2,61.6,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,86.3,97.8,2.4,2,80.2,80.5,95.1,95,No,,,"1,201,607.873","1,829,942.879",-87.5375501,41.6881094,"(-87.5375501, 41.6881094)"
609760,Carver Military,George Washington Carver Military Academy HS,13100 S Doty Ave,Chicago,IL,60627,http://www.carvermilitary.org,Far South Side High School Network,Far South Side High School Network,Standard,Level 1,No,0,Average,40,59.3,58,52.4,Below Average,14.5,14.98,16.9,15.09,15.38,16.9,78.7,85.3,0.2,0.4,79.5,86.3,21.2,16.5,60.5,49.1,65.8,75.5,Well-organized,Strong,Neutral,Neutral,Strong,Strong,Strong,66.1,89.7,5.1,4.9,91.6,91.4,96.4,96,No,,,"1,187,202.39","1,818,214.083",-87.5906566,41.65627709,"(-87.5906566, 41.65627709)"
610391,Lindblom HS,Robert Lindblom Math & Science Academy HS,6130 S Wolcott Ave,Chicago,IL,60636,http://www.lindblomeagles.org,Southwest Side High School Network,Southwest Side High School Network,Track E,Level 1,No,0,Average,52.5,51.1,59.1,53.6,Above Average,18.03,19.27,22.1,18.24,19.58,22.1,68.9,78.9,2.3,4.1,83.3,84.5,29.1,41.2,85.9,84.3,91.5,81,Well-organized,Strong,Strong,Very Strong,Strong,Strong,Strong,63.5,92.7,4.1,4.7,92.7,93.9,95.9,96.3,Pending,,,"1,164,703.614","1,863,861.294",-87.67169858,41.7820428,"(-87.67169858, 41.7820428)"
609720,Lane HS,Albert G Lane Technical High School,2501 W Addison St,Chicago,IL,60618,http://www.lanetech.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 1,No,0,Above Average,58.2,60.9,65.8,61.4,Above Average,19.2,20.16,23.9,19.49,21.09,23.9,92.2,90.9,1.3,1.2,90.7,95.1,67.9,71.1,79.8,80.6,88.5,87,Well-organized,Strong,Strong,Strong,Neutral,Neutral,Very Strong,73.7,44,5.7,4.8,96.3,96.4,96.2,96.3,Pending,Yes,2012,"1,158,975.392","1,923,791.705",-87.69105603,41.94661693,"(-87.69105603, 41.94661693)"
610502,Marine Military HS,Marine Military Math and Science Academy,145 S Campbell Ave,Chicago,IL,60612,http://www.marinemilitary.org,West Side High School Network,West Side High School Network,Standard,Level 2,No,0,Average,49.5,57.3,63.4,56.2,Below Average,13.97,15.25,17.5,14.77,15.67,17.5,,78.2,4.8,0.8,86.3,89.9,37.7,34.2,,58.4,,,Partially Organized,Neutral,Neutral,Neutral,Neutral,Weak,Weak,13,37.3,3.3,2.2,91.3,91.5,95.3,95.2,No,,,"1,159,815.389","1,899,102.492",-87.68865058,41.87885054,"(-87.68865058, 41.87885054)"
609768,Hope HS,Hope College Preparatory High School,5515 S Lowe Ave,Chicago,IL,60621,http://jhcp.cps.k12.il.us,Southwest Side High School Network,Southwest Side High School Network,Standard,Level 3,Yes,5,Average,63.4,54.7,54.4,57.3,Far Below Average,12.3,13.51,14.9,12.49,14.33,14.9,55.2,57.7,6.1,8.5,63.6,68.5,16.7,12.4,58.2,62.1,59.2,65.4,Moderately Organized,Neutral,Weak,Neutral,Strong,Neutral,Weak,52.1,43.1,3.8,3.5,72.2,76.6,94.3,94.7,No,,,"1,172,948.54","1,868,120.666",-87.64134488,41.79355292,"(-87.64134488, 41.79355292)"
610529,Ogden HS,Ogden International High School,1250 W Erie St,Chicago,IL,60622,http://www.ogdenschool.org,North-Northwest Side High School Network,West Side High School Network,Standard,Level 2,No,0,Average,59.6,58.1,,59,Below Average,14.41,15.95,18.1,14.98,16.13,18.1,,,6.8,5.3,93.3,91.7,,,,,,,Organized,Not Enough Data,Neutral,Strong,Not Enough Data,Not Enough Data,Strong,39.4,50.8,2.4,2.5,94.2,92,,,No,,,"1,167,748.1","1,904,529.595",-87.65936676,41.8935757,"(-87.65936676, 41.8935757)"
400022,Chgo Arts Contr HS,Chicago High School for the Arts,521 E 35th St,Chicago,IL,60616,http://www.chiarts.org,Charter/Contract Schools,South Side High School Network,Nonstandard,Level 1,No,0,Far Above Average,,,67.1,66.7,Below Average,16.15,16.76,19.7,16.49,17.17,19.7,,,2.6,2.9,,,,,,,,,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,22.2,77.1,3.1,3.6,96.5,96.1,,,No,,,"1,180,388.648","1,881,861.054",-87.61364086,41.83109008,"(-87.61364086, 41.83109008)"
